YearMonth,MedCode,RequestNumber,AmountRequested,AmountPurchased,AmountReceived,AmountMissing,AmountConsumed,AmountInventory,seccion final,SP,SP M,SP-PV,OP,PV,fecha ordinal,cantidad consumida,promedio,
01/01/2018,3300142,105822,6,6,6,0,5,1,,6.09851,9.147765,9.147765,,,,,,
01/02/2018,3300142,160678,8,8,8,0,7,1,,6.09851,9.147765,9.147765,,,,,,
01/03/2018,3300142,108044,5,6,6,-1,8,-2,,6.09851,9.147765,9.147765,,,,,,
01/04/2018,3300142,382059,13,17,16,-3,17,-1,,6.09851,9.147765,9.147765,,,,,,
01/05/2018,3300142,110571,2,4,4,-2,8,-4,,6.09851,9.147765,9.147765,,,,,,
01/06/2018,3300142,334881,8,12,12,-4,11,1,,6.09851,9.147765,9.147765,,,,,,
01/07/2018,3300142,338118,7,12,10,-3,8,2,,6.09851,9.147765,9.147765,,,,,,
01/08/2018,3300142,228375,5,8,8,-3,5,3,,6.09851,9.147765,9.147765,,,,,,
01/09/2018,3300142,57572,2,2,2,0,5,-3,,6.09851,9.147765,9.147765,,,,,,
01/10/2018,3300142,0,0,0,0,0,3,-3,,6.09851,9.147765,9.147765,,,,,,
01/11/2018,3300142,58405,1,2,2,-1,4,-2,,6.09851,9.147765,9.147765,,,,,,
01/12/2018,3300142,59078,1,2,2,-1,6,-4,,6.09851,9.147765,9.147765,,,,,,
01/01/2019,3300142,119717,2,4,4,-2,1,3,,6.09851,9.147765,9.147765,,,,,,
01/02/2019,3300142,180978,3,6,6,-3,7,-1,,6.09851,9.147765,9.147765,,,,,,
01/03/2019,3300142,182144,3,6,6,-3,5,1,5,6.09851,9.147765,9.147765,,,43525,4.5425,6.09851,9.147765
01/04/2019,3300142,306481,8,12,12,-4,12,0,12,6.09851,9.147765,9.147765,,,43556,4.8928,,
01/05/2019,3300142,61972,1,2,2,-1,1,1,1,6.09851,9.147765,9.147765,,,43586,5.2318,,
01/06/2019,3300142,124381,2,4,4,-2,2,2,2,6.09851,9.147765,9.147765,,,43617,5.5821,,
01/07/2019,3300142,188920,4,6,6,-2,8,-2,8,6.09851,9.147765,9.147765,,,43647,5.9211,,
01/08/2019,3300142,126507,2,4,2,0,7,-5,7,6.09851,9.147765,9.147765,,,43678,6.2714,,
01/09/2019,3300142,63755,1,2,2,-1,3,-1,3,6.09851,9.147765,9.147765,,,43709,6.6217,,
01/10/2019,3300142,194621,5,8,8,-3,4,4,4,6.09851,9.147765,9.147765,,,43739,6.9607,,
01/11/2019,3300142,195777,5,8,8,-3,10,-2,10,6.09851,9.147765,9.147765,,,43770,7.311,,
01/12/2019,3300142,263962,7,4,4,3,11,-7,11,6.09851,9.147765,9.147765,16.465977,0,43800,7.65,,
01/01/2020,,,,,,,,,,6.09851,9.147765,9.147765,16.465977,0,43831,8.0003,,
08/01/2020,,,,,,,,,,6.09851,9.147765,6.164129968,8.111798909,2.983635032,43838,8.0794,,
15/01/2020,,,,,,,,,,6.09851,9.147765,3.721427967,4.255868339,5.426337033,43845,8.1585,,
22/01/2020,,,,,,,,,,6.09851,9.147765,1.721587838,1.099017981,7.426177162,43852,8.2376,,
29/01/2020,,,,,,,,,,6.09851,9.147765,0.084318725,-1.485495407,9.063446275,43859,8.3167,,
05/02/2020,,,,,,,,,,6.09851,9.147765,0.257663573,0.637139278,8.890101427,43866,8.3958,,
12/02/2020,,,,,,,,,,6.09851,9.147765,1.098275618,2.817508159,8.049489382,43873,8.4749,,
19/02/2020,,,,,,,,,,6.09851,9.147765,2.358505985,5.50554114,6.789259015,43880,8.554,,
26/02/2020,,,,,,,,,,6.09851,9.147765,3.858570412,8.445491169,5.289194588,43887,8.6331,,
04/03/2020,,,,,,,,,,6.09851,9.147765,4.702051754,9.307174499,4.445713246,43894,8.7122,,
11/03/2020,,,,,,,,,,6.09851,9.147765,4.997527087,9.29102409,4.150237913,43901,8.7913,,
18/03/2020,,,,,,,,,,6.09851,9.147765,4.752361166,8.309084178,4.395403834,43908,8.8704,,
25/03/2020,,,,,,,,,,6.09851,9.147765,4.018924881,6.500628501,5.128840119,,,,
01/04/2020,,,,,,,,,,6.09851,9.147765,3.262323576,5.115581131,5.885441424,,,,
08/04/2020,,,,,,,,,,6.09851,9.147765,2.645820541,4.145973939,6.501944459,,,,
15/04/2020,,,,,,,,,,6.09851,9.147765,2.319017018,3.84742711,6.828747982,,,,
22/04/2020,,,,,,,,,,6.09851,9.147765,2.379155143,4.342617382,6.768609857,,,,
29/04/2020,,,,,,,,,,6.09851,9.147765,2.679360809,5.123055123,6.468404191,,,,
06/05/2020,,,,,,,,,,6.09851,9.147765,3.100832011,6.002968822,6.046932989,,,,
13/05/2020,,,,,,,,,,6.09851,9.147765,3.49998717,6.699132064,5.64777783,,,,
20/05/2020,,,,,,,,,,6.09851,9.147765,3.737047021,6.963744488,5.410717979,,,,
27/05/2020,,,,,,,,,,6.09851,9.147765,3.789712602,6.874148265,5.358052398,,,,
03/06/2020,,,,,,,,,,6.09851,9.147765,3.673389551,6.495778141,5.474375449,,,,
10/06/2020,,,,,,,,,,6.09851,9.147765,3.45201109,5.992241501,5.69575391,,,,
17/06/2020,,,,,,,,,,6.09851,9.147765,3.222820773,5.571887073,5.924944227,,,,
24/06/2020,,,,,,,,,,6.09851,9.147765,3.051417495,5.321148214,6.096347505,,,,
